TeamId,TeamName,SubmissionDate,Score
6781519,MinhDuc123,"2021-05-31 06:07:58",1.08478
6849098,"Pham Ngoc Canh","2021-05-27 14:31:39",1.08490
6840369,"Duc Ngo 1822","2021-05-31 05:07:43",1.08490
6839973,chien.pa,"2021-05-27 14:19:22",1.08494
6758234,"Alessandro Nicolosi","2021-05-31 07:58:41",1.08494
6720739,kailai,"2021-05-31 23:54:05",1.08495
6785391,"Hikmet Sezen","2021-05-31 23:06:01",1.08497
6783772,DLastStark,"2021-05-26 06:43:25",1.08500
6739825,virtualml,"2021-05-31 23:58:21",1.08504
6740615,"Marek Nurzynski","2021-05-31 21:39:11",1.08505
6888620,"buzz lightyear 8yer","2021-05-31 16:08:06",1.08506
6828591,bamblebam,"2021-05-31 16:09:31",1.08506
6726980,nexus2021,"2021-05-31 07:52:50",1.08507
6721697,GreetingsFromPoland,"2021-05-31 14:26:35",1.08507
6723841,diggee,"2021-05-31 12:46:43",1.08507
6720691,OmarVivas,"2021-05-31 23:51:10",1.08507
6720636,"jj vanman","2021-05-31 23:01:41",1.08508
6885962,Yatharth03,"2021-05-31 23:54:28",1.08510
6722711,"Zheyu Ye","2021-05-30 23:07:52",1.08510
6721209,"Dianwen (David) Zhao","2021-05-31 14:22:51",1.08510
6726200,Vivan,"2021-05-31 03:30:19",1.08510
6723737,"Lorem ipsum","2021-05-31 03:41:58",1.08510
6841336,DucMinhNgo871,"2021-05-31 04:55:56",1.08510
6731595,"Abid Ali Awan","2021-05-31 08:12:59",1.08510
6756126,"Mehran Kazeminia","2021-05-31 17:48:11",1.08510
6758999,TwoAmigo,"2021-05-31 00:28:08",1.08510
6803436,"Sagnik Roy","2021-05-31 06:22:31",1.08510
6885978,Dark_Ninja,"2021-05-30 21:52:16",1.08510
6736693,lipinjuan,"2021-05-31 22:52:19",1.08510
6721255,PranjalVerma08,"2021-05-31 23:55:13",1.08511
6730571,"Tapas Das","2021-05-25 14:52:27",1.08511
6720693,"Yue Sun","2021-05-31 01:03:51",1.08511
6727700,Koearn,"2021-05-30 23:02:54",1.08512
6721028,tharun_01,"2021-05-31 07:28:13",1.08512
6721514,RST,"2021-05-31 08:58:27",1.08512
6722332,"Mathurin Aché","2021-05-31 12:22:27",1.08512
6720680,hayahiko,"2021-05-31 14:33:33",1.08512
6728438,changwoomon,"2021-05-31 17:21:51",1.08512
6760222,Hubspot,"2021-05-31 19:54:01",1.08512
6721567,"Adeyinka Michael Sotunde","2021-05-31 00:35:09",1.08514
6720602,alperylmz,"2021-05-31 08:17:50",1.08515
6725082,dg68,"2021-05-31 23:51:48",1.08515
6721146,songwonmin,"2021-05-31 15:24:40",1.08515
6829610,StellarDragon,"2021-05-31 03:09:14",1.08517
6741083,"Dmitry Z","2021-05-31 18:29:00",1.08517
6886652,"Vociferous Senerade","2021-05-31 03:05:44",1.08517
6767580,CaruzzoC,"2021-05-31 23:33:58",1.08517
6721062,"Fellipe Gomes","2021-05-31 23:57:45",1.08520
6723670,"Soohyun Lee","2021-05-31 08:17:53",1.08520
6867508,xuxu_sky,"2021-05-31 10:32:43",1.08520
6857476,"Mukharbek Organokov","2021-05-31 18:34:42",1.08520
6725156,"Elvin Aghammadzada","2021-05-31 20:17:55",1.08520
6801335,AKZT,"2021-05-31 03:22:08",1.08520
6789451,Kuroki_A,"2021-05-31 17:00:31",1.08523
6729062,"Anurag Mukherjee","2021-05-31 15:58:02",1.08523
6782627,itochan_otochan,"2021-05-31 14:24:01",1.08523
6777440,"Niels ","2021-05-17 13:30:42",1.08524
6891205,Roberto.mldl,"2021-05-31 23:27:39",1.08527
6811032,"atomu oku","2021-05-27 12:58:27",1.08527
6840150,Vis.jr2021,"2021-05-26 04:34:48",1.08527
6822381,chienjr2k,"2021-05-26 03:43:02",1.08530
6811025,"Anh Chien","2021-05-26 04:12:51",1.08530
6773669,Seongwook93,"2021-05-31 01:06:29",1.08530
6721510,"Sharlto Cope","2021-05-31 22:32:43",1.08530
6723863,"Antonello Martiello","2021-05-27 15:09:28",1.08531
6850013,"19071003 Phạm Ngọc Cảnh","2021-05-26 04:02:23",1.08532
6859391,slim2021,"2021-05-26 05:27:57",1.08536
6726672,"mid fekar","2021-05-13 20:37:58",1.08538
6720677,Moonej,"2021-05-31 23:51:28",1.08538
6724789,aegehbi,"2021-05-13 20:59:52",1.08540
6844086,Achilles-heel,"2021-05-29 07:11:07",1.08541
6720598,sejoong.kim,"2021-05-23 12:23:39",1.08541
6782503,andrekos,"2021-05-30 12:30:14",1.08541
6725213,LightlightsupLight,"2021-05-18 01:06:43",1.08542
6822841,hihiiii,"2021-05-26 04:40:48",1.08542
6841560,DucNgo1579,"2021-05-26 15:20:55",1.08542
6793123,"Shreya Sajal","2021-05-30 13:08:32",1.08542
6774481,"Abhijeet Vichare","2021-05-27 18:44:12",1.08542
6734288,T-Minamoto,"2021-05-31 06:45:46",1.08543
6832279,Assert_0x470C,"2021-05-29 12:18:57",1.08543
6720643,BIZEN,"2021-05-31 12:22:26",1.08543
6725419,"Junichiro Morita","2021-05-29 13:35:57",1.08543
6727060,Jitendra,"2021-05-27 07:21:12",1.08543
6836277,Gorochu,"2021-05-27 08:09:36",1.08543
6869580,Leaveson,"2021-05-30 12:38:35",1.08543
6798267,"Vadim VS","2021-05-31 19:54:53",1.08543
6727540,"Ansh Gupta","2021-05-28 12:43:40",1.08543
6721796,"Eric Vos","2021-05-29 09:13:06",1.08543
6724493,KritiDoneria,"2021-05-31 12:20:04",1.08543
6722336,"Debarshi Chanda","2021-05-30 19:44:07",1.08543
6729571,"Thomas Nelson","2021-05-30 12:44:41",1.08543
6721548,"Ritesh Gupta","2021-05-30 12:52:22",1.08543
6855128,"wu bo","2021-05-30 04:06:16",1.08543
6812338,keire,"2021-05-30 03:20:27",1.08543
6755624,Claire,"2021-05-30 03:02:55",1.08543
6744526,"ewq we","2021-05-30 02:40:47",1.08543
6775049,cozy_sauna,"2021-05-27 07:22:54",1.08544
6809470,also-ran,"2021-05-29 06:40:15",1.08544
6843217,"Sumaia P Shupti","2021-05-25 19:38:21",1.08544
6857689,"[Deleted] 78bbf0ff-8438-439b-8daf-92ec918b307a","2021-05-25 03:33:34",1.08544
6795829,Aleksandr_Sidorov,"2021-05-30 07:34:46",1.08544
6825968,"Alifia Ghantiwala","2021-05-25 05:10:13",1.08544
6887693,PierreT,"2021-05-31 07:47:24",1.08544
6853968,"Kevin Wu","2021-05-30 03:32:00",1.08544
6722394,DDIIIIEEENNNDD,"2021-05-13 21:01:47",1.08544
6721505,"Have you tried LightAutoML?","2021-05-05 23:19:39",1.08544
6809680,Leven66,"2021-05-31 03:55:40",1.08544
6854739,qazxswedc,"2021-05-30 03:43:40",1.08545
6752671,"Tensor Girl","2021-05-30 04:42:42",1.08546
6738051,"Pradeep Boopathy","2021-05-21 10:57:32",1.08546
6750299,czs,"2021-05-31 02:38:24",1.08546
6844166,"Wang Frey","2021-05-29 06:58:28",1.08546
6856916,AzzamRadman,"2021-05-31 16:18:24",1.08547
6724514,"ml bwoi","2021-05-31 21:53:54",1.08547
6730800,"Manas Garg","2021-05-29 18:09:25",1.08547
6721096,SeeSaw,"2021-05-17 16:10:46",1.08547
6850069,DucNgo1722,"2021-05-26 04:01:55",1.08549
6860779,bw,"2021-05-30 04:15:12",1.08549
6733470,"Bruce Harold","2021-05-31 16:22:59",1.08549
6801042,"Gaurav Singh","2021-05-30 19:43:01",1.08550
6724140,"Jamil Alizade","2021-05-05 11:52:34",1.08550
6727088,"Laurent Pourchot","2021-05-30 17:17:52",1.08550
6841621,DucMNgo1118,"2021-05-21 15:36:55",1.08551
6720814,"TaoZhu  Ruan","2021-05-17 04:47:35",1.08552
6731144,"Mikayil Yusubov","2021-05-05 13:07:00",1.08552
6721198,"datasuckin nerds","2021-05-09 03:52:35",1.08553
6731155,keysersoze056,"2021-05-30 00:40:05",1.08553
6752638,onemount,"2021-05-07 17:28:38",1.08553
6724712,"C L Davies","2021-05-12 06:38:53",1.08554
6722247,"Parth Shukla","2021-05-05 04:08:53",1.08554
6725410,"Alen K","2021-05-31 20:24:18",1.08556
6878286,"Abhijeet Vichare #2","2021-05-29 04:29:29",1.08558
6827154,Julius1R,"2021-05-31 14:40:25",1.08559
6730056,ASFQAZ,"2021-05-30 01:25:30",1.08559
6721086,"Harshit Sati","2021-05-24 17:06:59",1.08559
6743745,mel903,"2021-05-30 02:10:53",1.08560
6739111,"Nhật Anh","2021-05-26 04:52:21",1.08560
6735643,"Joao de Oliveira","2021-05-31 22:48:06",1.08563
6868245,"Huy Trinh","2021-05-27 03:05:56",1.08564
6722818,"SOURABH  Y","2021-05-13 15:54:02",1.08564
6723750,Berk,"2021-05-11 10:53:08",1.08565
6733488,"Alper Temel","2021-05-15 15:02:48",1.08565
6753938,DXC1G,"2021-05-31 03:52:29",1.08570
6720756,Ishant_J,"2021-05-29 07:20:46",1.08570
6740755,harusame,"2021-05-12 01:56:38",1.08570
6830008,"Maksim Kleshchenok","2021-05-30 11:21:54",1.08571
6723743,"Ryan Barretto","2021-05-31 03:11:25",1.08571
6802927,knight,"2021-05-16 18:53:05",1.08571
